Layer_no,Ele_from,Ele_to,USCS,UW_sat
1,712,703,SC-CL,115
2,703,693,SC-SM,110
3,693,683,SW-SM,120
,,,GW-GM,
4,683,679,CL-CH,115
5,679,673,CL-CH,120
6,673,670, W LS,130
7,670,650,LS,150
