Layer_no,Ele_from,Ele_to,USCS,UW_sat
1,-3.5,-6,"CH, CL",100
2,-6,-39,"SC, SM, SP-SM",103
3,-39,-66,"CH, CL",110
4,-66,-76,"SC, SP-SM",115
5,-76,-82,"CH, CL",115
6,-82,-90,"SC, SP-SM",101
7,-90,-101,"CH, CL",115
8,-101,-115,"SC, SM",112
