Layer_no,Ele_from,Ele_to,USCS,UW_sat
1,710,700,SC-SM,120
2,700,695,SC-SM,110
3,695,685,SW-SM,120
4,685,675,CL-CH,120
5,675,670,CL-CH,120
6,670,667, W LS,130
7,667,650,LS,150
