Layer_no,Ele_from,Ele_to,USCS,UW_sat
1,715,707,SC-SM,125
2,707,700,SC-CL,120
3,700,692,SC-SM,120
4,692,687,SW-SM,120
5,687,683,SC-SM,115
6,683,680, W LS,130
7,680,650,LS,150
